num_run;representation;node_idx1;node_idx2;self trace;pcm_1 size;pcm_1 sparsity;pcm_2 size;pcm_2 sparsity;new pcm size;new pcm sparsity;pte 1 len estimate;pte 2 len estimate;custom_cost;pcm size cost;rank cost;rank;num pte legs1;num pte legs2;open_legs1 est;open_legs2 est;pte 1 len;pte 2 len;new pte len;cost;open_legs1;open_legs2;pte1 sparsity;pte2 sparsity
0;Dual Surface;(5, 1);(6, 0);False;(3, 8);0.333;(2, 4);0.5;(3, 8);0.333;8.0;4.0;8.0;2.2619716842083677;2;3;4;2;3;0;8.0;4.0;8.0;8.0;3.0;0.0;0.125;4.0
0;Dual Surface;(4, 0);(5, 1);False;(3, 6);0.389;(3, 8);0.333;(4, 10);0.325;8.0;8.0;16.0;7.866800072365097;2;4;3;4;1;2;8.0;8.0;16.0;16.0;1.0;2.0;2.0;0.5
0;Dual Surface;(5, 1);(6, 2);False;(4, 10);0.325;(3, 6);0.389;(5, 12);0.283;16.0;8.0;32.0;21.15732635672953;2;5;5;3;2;1;16.0;8.0;16.0;32.0;2.0;1.0;1.0;2.0
0;Dual Surface;(4, 2);(5, 1);False;(4, 10);0.35;(5, 12);0.283;(7, 18);0.175;16.0;32.0;128.0;129.32302788705195;4;7;5;6;3;2;16.0;16.0;64.0;64.0;3.0;2.0;0.25;1.0
0;Dual Surface;(3, 1);(4, 0);False;(3, 8);0.333;(7, 18);0.175;(8, 22);0.148;8.0;128.0;256.0;292.2958462445476;8;8;4;9;3;4;8.0;64.0;128.0;128.0;3.0;4.0;0.125;0.25
0;Dual Surface;(3, 1);(4, 2);True;(8, 22);0.148;-1;-1.0;(7, 18);0.175;256.0;-1.0;64.0;129.32302788705195;4;7;11;11;5;5;128.0;128.0;64.0;64.0;5.0;5.0;0.125;0.125
0;Dual Surface;(5, 3);(6, 2);False;(3, 8);0.333;(7, 18);0.175;(8, 22);0.148;8.0;64.0;128.0;292.2958462445476;8;8;4;9;3;4;8.0;64.0;128.0;128.0;3.0;4.0;0.125;0.25
0;Dual Surface;(4, 2);(5, 3);True;(8, 22);0.148;-1;-1.0;(7, 18);0.19;128.0;-1.0;32.0;129.32302788705195;4;7;11;11;5;5;128.0;128.0;32.0;64.0;5.0;5.0;0.125;0.125
0;Dual Surface;(0, 0);(1, 1);False;(2, 4);0.5;(3, 8);0.333;(3, 8);0.333;4.0;8.0;8.0;2.2619716842083677;2;3;2;4;0;3;4.0;8.0;8.0;8.0;0.0;3.0;4.0;0.125
0;Dual Surface;(1, 1);(0, 2);False;(3, 8);0.333;(3, 6);0.389;(4, 10);0.275;8.0;8.0;16.0;7.866800072365097;2;4;4;3;2;1;8.0;8.0;8.0;16.0;2.0;1.0;0.5;2.0
